124.3125,189.65625,120.525
125.375,190.1875,120.683333333333
126.4375,190.71875,120.841666666667
127.5,191.25,121
128.5625,191.78125,121.158333333333
129.625,192.3125,121.316666666667
130.6875,192.84375,121.475
131.75,193.375,121.633333333333
132.8125,193.90625,121.791666666667
133.875,194.4375,121.95
134.9375,194.96875,122.108333333333
136,195.5,122.266666666667
137.0625,196.03125,122.425
138.125,196.5625,122.583333333333
139.1875,197.09375,122.741666666667
140.25,197.625,122.9
141.3125,198.15625,123.058333333333
142.375,198.6875,123.216666666667
143.4375,199.21875,123.375
144.5,199.75,123.533333333333
145.5625,200.28125,123.691666666667
146.625,200.8125,123.85
147.6875,201.34375,124.008333333333
148.75,201.875,124.166666666667
149.8125,202.40625,124.325
150.875,202.9375,124.483333333333
151.9375,203.46875,124.641666666667
153,204,124.8
154.0625,204.53125,124.958333333333
155.125,205.0625,125.116666666667
156.1875,205.59375,125.275
157.25,206.125,125.433333333333
158.3125,206.65625,125.591666666667
159.375,207.1875,125.75
160.4375,207.71875,125.908333333333
161.5,208.25,126.066666666667
162.5625,208.78125,126.225
163.625,209.3125,126.383333333333
164.6875,209.84375,126.541666666667
165.75,210.375,126.7
166.8125,210.90625,126.858333333333
167.875,211.4375,127.016666666667
168.9375,211.96875,127.175
170,212.5,127.333333333333
171.0625,213.03125,127.491666666667
172.125,213.5625,127.65
173.1875,214.09375,127.808333333333
174.25,214.625,127.966666666667
175.3125,215.15625,128.125
176.375,215.6875,128.283333333333
177.4375,216.21875,128.441666666667
178.5,216.75,128.6
179.5625,217.28125,128.758333333333
180.625,217.8125,128.916666666667
181.6875,218.34375,129.075
182.75,218.875,129.233333333333
183.8125,219.40625,129.391666666667
184.875,219.9375,129.55
185.9375,220.46875,129.708333333333
187,221,129.866666666667
188.0625,221.53125,130.025
189.125,222.0625,130.183333333333
190.1875,222.59375,130.341666666667
191.25,223.125,130.5
192.3125,223.65625,130.658333333333
193.375,224.1875,130.816666666667
194.4375,224.71875,130.975
195.5,225.25,131.133333333333
196.5625,225.78125,131.291666666667
197.625,226.3125,131.45
198.6875,226.84375,131.608333333333
199.75,227.375,131.766666666667
200.8125,227.90625,131.925
201.875,228.4375,132.083333333333
202.9375,228.96875,132.241666666667
204,229.5,132.4
205.0625,230.03125,132.558333333333
206.125,230.5625,132.716666666667
207.1875,231.09375,132.875
208.25,231.625,133.033333333333
209.3125,232.15625,133.191666666667
210.375,232.6875,133.35
211.4375,233.21875,133.508333333333
212.5,233.75,133.666666666667
213.5625,234.28125,133.825
214.625,234.8125,133.983333333333
215.6875,235.34375,134.141666666667
216.75,235.875,134.3
217.8125,236.40625,134.458333333333
218.875,236.9375,134.616666666667
219.9375,237.46875,134.775
221,238,134.933333333333
222.0625,238.53125,135.091666666667
223.125,239.0625,135.25
224.1875,239.59375,135.408333333333
225.25,240.125,135.566666666667
226.3125,240.65625,135.725
227.375,241.1875,135.883333333333
228.4375,241.71875,136.041666666667
229.5,242.25,136.2
230.5625,242.78125,136.358333333333
231.625,243.3125,136.516666666667
232.6875,243.84375,136.675
233.75,244.375,136.833333333333
234.8125,244.90625,136.991666666667
235.875,245.4375,137.15
236.9375,245.96875,137.308333333333
238,246.5,137.466666666667
239.0625,247.03125,137.625
240.125,247.5625,137.783333333333
241.1875,248.09375,137.941666666667
242.25,248.625,138.1
243.3125,249.15625,138.258333333333
244.375,249.6875,138.416666666667
245.4375,250.21875,138.575
246.5,250.75,138.733333333333
247.5625,251.28125,138.891666666667
248.625,251.8125,139.05
249.6875,252.34375,139.208333333333
250.75,252.875,139.366666666667
251.8125,253.40625,139.525
252.875,253.9375,139.683333333333
253.9375,254.46875,139.841666666667
255,255,140
255,255,255
242.444444444444,242.722222222222,248.5
229.888888888889,230.444444444444,242
217.333333333333,218.166666666667,235.5
204.777777777778,205.888888888889,229
192.222222222222,193.611111111111,222.5
179.666666666667,181.333333333333,216
167.111111111111,169.055555555556,209.5
154.555555555556,156.777777777778,203
142,144.5,196.5
129.444444444444,132.222222222222,190
116.888888888889,119.944444444444,183.5
104.333333333333,107.666666666667,177
91.7777777777778,95.3888888888889,170.5
