t_sync_us,capture_time_ns,source_pose_index,source,quality,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
1078542,1789025760497000000,77,HEAD_POSE_ESTIMATE,estimated,-1.5015738600911952,5.661678139271769,7.869037430755796,-0.0191543778565729,-0.11817283653560097,-0.08061230146846342
1092542,1789025760511000000,78,HEAD_POSE_ESTIMATE,estimated,-1.5127672915421757,5.696853726453398,7.938247034465082,-0.028333604446370616,-0.11790254204206961,-0.08384000477234894
1106542,1789025760525000000,79,HEAD_POSE_ESTIMATE,estimated,-1.526713114193082,5.725559830511093,7.997784580286486,-0.03483769944444796,-0.11006979822276174,-0.08854051323526757
1120542,1789025760539000000,80,HEAD_POSE_ESTIMATE,estimated,-1.5373310108495628,5.761986691058266,8.056816633186259,-0.04387738933757071,-0.09497816618315584,-0.09622684763248113
1134542,1789025760553000000,81,HEAD_POSE_ESTIMATE,estimated,-1.533615125208873,5.796520568918304,8.114767570744673,-0.06489657446594227,-0.07507099077020872,-0.10569553323126817
1148542,1789025760567000000,82,HEAD_POSE_ESTIMATE,estimated,-1.517333071485971,5.854411787465534,8.161057271439294,-0.08228938774361622,-0.05136335393449757,-0.11361761553395724
1163542,1789025760582000000,83,HEAD_POSE_ESTIMATE,estimated,-1.4934103625894308,5.929861612039961,8.176213767520274,-0.0854980244954022,-0.0227845315801334,-0.12236358433912406
1175542,1789025760594000000,84,HEAD_POSE_ESTIMATE,estimated,-1.479693553566984,5.9665515477017745,8.190646353371873,-0.07892089983592483,0.0014288651873925443,-0.12363817023790884
1189542,1789025760608000000,85,HEAD_POSE_ESTIMATE,estimated,-1.4625593990019026,5.951897472176357,8.188239380008968,-0.05207638024134159,0.0295330100435895,-0.1317291854677659
1204542,1789025760623000000,86,HEAD_POSE_ESTIMATE,estimated,-1.4689717621730216,5.8808943114256085,8.180976882050599,-0.011629358085713757,0.05455935312526839,-0.1499614463391831
1218542,1789025760637000000,87,HEAD_POSE_ESTIMATE,estimated,-1.4719759953370646,5.812395360742274,8.158329266802138,0.02738516111082651,0.07284522928591709,-0.1732117686942147
1231542,1789025760650000000,88,HEAD_POSE_ESTIMATE,estimated,-1.4618791471440473,5.773652433620303,8.121274339853615,0.061855859049541766,0.08658769587399663,-0.1951125366956599
1247542,1789025760666000000,89,HEAD_POSE_ESTIMATE,estimated,-1.4625592077146186,5.75876561183863,8.047576989767876,0.09985612570892234,0.09466283291194641,-0.21133960700058171
1258542,1789025760677000000,90,HEAD_POSE_ESTIMATE,estimated,-1.4672626894654894,5.737208410399101,7.996050805914484,0.13032968772926903,0.09135048223998399,-0.21776208929873067
1272542,1789025760691000000,91,HEAD_POSE_ESTIMATE,estimated,-1.4875974664595994,5.689670724557771,7.953889718383788,0.16338656044236788,0.08534542000168599,-0.21714159976590855
1286542,1789025760705000000,92,HEAD_POSE_ESTIMATE,estimated,-1.5232539205625357,5.650309274901682,7.901295570225288,0.1824624262672199,0.06924594528277093,-0.22234258573069307
1300542,1789025760719000000,93,HEAD_POSE_ESTIMATE,estimated,-1.5464928724476437,5.611911140553779,7.851107848866347,0.18799764047685033,0.04654023198122949,-0.2251595015584368
1314542,1789025760733000000,94,HEAD_POSE_ESTIMATE,estimated,-1.5687592930272045,5.591190321041669,7.819140466431127,0.18053973747869187,0.019469496008756196,-0.23736157586457238
1328542,1789025760747000000,95,HEAD_POSE_ESTIMATE,estimated,-1.5872542240108682,5.5823856794364435,7.783339851005607,0.16721934495236596,-0.00578012015174943,-0.2362465524981412
1342542,1789025760761000000,96,HEAD_POSE_ESTIMATE,estimated,-1.5932354242005378,5.593054322324306,7.748578215836463,0.14955705701497263,-0.02526928939771857,-0.22069162122295652
1355542,1789025760774000000,97,HEAD_POSE_ESTIMATE,estimated,-1.6001013400081763,5.609670592936982,7.719318665044156,0.1366860944099386,-0.0340766761070088,-0.19812727521975704
1370542,1789025760789000000,98,HEAD_POSE_ESTIMATE,estimated,-1.623222923016897,5.641965766292975,7.686171844220858,0.12139211157487322,-0.03531269014930801,-0.17325628460729217
1384542,1789025760803000000,99,HEAD_POSE_ESTIMATE,estimated,-1.6337140436655837,5.662884885247431,7.666279466883291,0.10803325784562062,-0.0366239395066802,-0.15727658375237855
1398542,1789025760817000000,100,HEAD_POSE_ESTIMATE,estimated,-1.6392493566899407,5.672355197718531,7.646048721070175,0.10049314336553518,-0.03674716447918334,-0.15243186856891422
1411542,1789025760830000000,101,HEAD_POSE_ESTIMATE,estimated,-1.6481879984774905,5.692915100765844,7.631903592918157,0.0936812454265345,-0.038894499693101395,-0.1544374551770155
1425542,1789025760844000000,102,HEAD_POSE_ESTIMATE,estimated,-1.6350650289283974,5.721770787568743,7.621074374250977,0.08556070892556554,-0.03760914746291805,-0.1488236285639866
1439542,1789025760858000000,103,HEAD_POSE_ESTIMATE,estimated,-1.6324653092105037,5.750826102138498,7.603803216550115,0.0830324949237769,-0.0343514689421722,-0.14458837995518806
1453542,1789025760872000000,104,HEAD_POSE_ESTIMATE,estimated,-1.640997657002178,5.75650542270995,7.585262058107338,0.08756435346898127,-0.032153710515802326,-0.13694752834108032
1467542,1789025760886000000,105,HEAD_POSE_ESTIMATE,estimated,-1.656322635254721,5.744890903750078,7.576867628832953,0.09365825540257608,-0.030423988388395388,-0.14066608606429504
1483542,1789025760902000000,106,HEAD_POSE_ESTIMATE,estimated,-1.6711724911675983,5.721056420918698,7.577173139248374,0.09668831572546921,-0.02912011631608789,-0.15258633938077004
1494542,1789025760913000000,107,HEAD_POSE_ESTIMATE,estimated,-1.7007307081377718,5.740924992040556,7.588705615146257,0.09816820396683193,-0.03048802490928492,-0.16601770901319313
1509542,1789025760928000000,108,HEAD_POSE_ESTIMATE,estimated,-1.7197977460775662,5.761450671174779,7.597657019172345,0.09015057411419893,-0.029761171105660865,-0.17756427388584536
1525542,1789025760944000000,109,HEAD_POSE_ESTIMATE,estimated,-1.744236804401368,5.791374884241697,7.604087365371986,0.07393121610701042,-0.02839684704672135,-0.1937259046293806
1535542,1789025760954000000,110,HEAD_POSE_ESTIMATE,estimated,-1.7638336587249253,5.817740685644917,7.6038603504539,0.059067176436392914,-0.023872575186129133,-0.19678939440529553
1549542,1789025760968000000,111,HEAD_POSE_ESTIMATE,estimated,-1.7899307998348921,5.819600568967702,7.609089011081021,0.04644057511862384,-0.022677005503000926,-0.20944380817497005
1563542,1789025760982000000,112,HEAD_POSE_ESTIMATE,estimated,-1.8303314979708858,5.8105776324735645,7.616147252053407,0.043405849535112284,-0.025217677444817784,-0.22637148253173725
1578542,1789025760997000000,113,HEAD_POSE_ESTIMATE,estimated,-1.865641172370808,5.8022047256765195,7.61967160571814,0.044647809965917336,-0.03249418014630067,-0.241903048109824
1592542,1789025761011000000,114,HEAD_POSE_ESTIMATE,estimated,-1.9026276297495546,5.8143322422751185,7.615808189652027,0.052154282221921665,-0.04421840685506549,-0.25888767944198715
1607542,1789025761026000000,115,HEAD_POSE_ESTIMATE,estimated,-1.9351085190988297,5.811946946601189,7.630129122979882,0.0560588395675847,-0.05229940744986845,-0.2608784009665844
1619542,1789025761038000000,116,HEAD_POSE_ESTIMATE,estimated,-1.9636365988451878,5.815943060818909,7.6304799541381,0.059244798213284613,-0.05831259542818039,-0.2567256638027115
1634542,1789025761053000000,117,HEAD_POSE_ESTIMATE,estimated,-2.006639398342144,5.8268540069599,7.62465355269731,0.06213357669703122,-0.05962902015478651,-0.23538895297968587
1648542,1789025761067000000,118,HEAD_POSE_ESTIMATE,estimated,-1.998346429233719,5.829666433561533,7.643466025262796,0.06415289294043723,-0.059039831682882966,-0.21270291287474452
1661542,1789025761080000000,119,HEAD_POSE_ESTIMATE,estimated,-2.0022978835878997,5.8269020069215545,7.645206453084493,0.06599126327945068,-0.059759083213363484,-0.19399626677351534
1675542,1789025761094000000,120,HEAD_POSE_ESTIMATE,estimated,-2.002147749705736,5.804885296640836,7.668211514888501,0.06642482250976924,-0.06208285130783641,-0.18741103393926398
1689542,1789025761108000000,121,HEAD_POSE_ESTIMATE,estimated,-2.0097505151761235,5.791231122026518,7.686634152163017,0.060866523683134485,-0.06254968594401177,-0.18056966739719807
1705542,1789025761124000000,122,HEAD_POSE_ESTIMATE,estimated,-2.0091733502788456,5.79470175262573,7.703847257962425,0.05217443382708873,-0.06406364742982866,-0.17734137738233802
1722542,1789025761141000000,123,HEAD_POSE_ESTIMATE,estimated,-2.03173578065064,5.82374043738895,7.692033975803931,0.04040047746971966,-0.06688611934087067,-0.175937778089427
1744542,1789025761163000000,124,HEAD_POSE_ESTIMATE,estimated,-2.061310426476633,5.8539110661237705,7.637727651364622,0.042882928204603724,-0.07063748557027433,-0.17473119613494936
1757542,1789025761176000000,125,HEAD_POSE_ESTIMATE,estimated,-2.084986524675916,5.851675495137657,7.603188627794269,0.04879809613072595,-0.07378012631111314,-0.17483581600726855
1772542,1789025761191000000,126,HEAD_POSE_ESTIMATE,estimated,-2.1094190313933736,5.811598307848684,7.574805226148886,0.058101816495473094,-0.0798958377334193,-0.17715794836559443
1786542,1789025761205000000,127,HEAD_POSE_ESTIMATE,estimated,-2.1296587939669402,5.780009441702843,7.5469056650435595,0.06418481989328528,-0.08174303673590509,-0.17388558140205798
1799542,1789025761218000000,128,HEAD_POSE_ESTIMATE,estimated,-2.149807946316152,5.756801038922654,7.51497725832143,0.0723021142051529,-0.08043256216011102,-0.16509059189217432
1814542,1789025761233000000,129,HEAD_POSE_ESTIMATE,estimated,-2.1835969604607954,5.751073988293881,7.485968323320313,0.08550787050158015,-0.07567170052004692,-0.14831275682433068
1828542,1789025761247000000,130,HEAD_POSE_ESTIMATE,estimated,-2.2175067592488804,5.743230160480781,7.457042004155561,0.09657037224187567,-0.06845356185608406,-0.13309889875172454
1843542,1789025761262000000,131,HEAD_POSE_ESTIMATE,estimated,-2.2485647796138997,5.7399209916953735,7.434156093038461,0.10075235603647807,-0.0598337331341348,-0.12139337640454102
1856542,1789025761275000000,132,HEAD_POSE_ESTIMATE,estimated,-2.2420439671011043,5.758051920616905,7.446505281838317,0.08863848374832163,-0.055362454185097755,-0.11564561485619539
1870542,1789025761289000000,133,HEAD_POSE_ESTIMATE,estimated,-2.226689535612069,5.771594510922455,7.4643715305291245,0.07508248624371647,-0.04920875294442049,-0.11265126739795407
1885542,1789025761304000000,134,HEAD_POSE_ESTIMATE,estimated,-2.2324057770007726,5.775285475916537,7.4782410476678525,0.05780185803942099,-0.0377484299686752,-0.09617858339162481
1897542,1789025761316000000,135,HEAD_POSE_ESTIMATE,estimated,-2.228089375083759,5.773557343012059,7.496726291619151,0.03975599197776812,-0.02816203005972869,-0.07979096229529838
1912542,1789025761331000000,136,HEAD_POSE_ESTIMATE,estimated,-2.2169472365194203,5.7687068716883045,7.513322595852692,0.025498635762988917,-0.02089151309128618,-0.06856240763770564
1925542,1789025761344000000,137,HEAD_POSE_ESTIMATE,estimated,-2.199477510882074,5.7460691073071075,7.534958598028499,0.01209965960527001,-0.014904197554255023,-0.05980806958087867
1940542,1789025761359000000,138,HEAD_POSE_ESTIMATE,estimated,-2.1742084292475066,5.741267390710792,7.542860108087105,6.0874224357343156e-05,-0.009090932693483416,-0.04892062944573429
1954542,1789025761373000000,139,HEAD_POSE_ESTIMATE,estimated,-2.1424519263785844,5.763199213828203,7.546185510083851,-0.011267458959139939,-0.00014276657561627639,-0.029438148854328283
1967542,1789025761386000000,140,HEAD_POSE_ESTIMATE,estimated,-2.1099408755068825,5.788855125674365,7.539477675646219,-0.021817843412431766,0.008793958962360253,-0.009899426796320368
1982542,1789025761401000000,141,HEAD_POSE_ESTIMATE,estimated,-2.077071815539432,5.795593095370927,7.538907889921322,-0.02876022230735031,0.016144917018175,0.004819122473432462
1996542,1789025761415000000,142,HEAD_POSE_ESTIMATE,estimated,-2.0641722293562275,5.774147259342289,7.56377503784518,-0.028299210860162363,0.022668978484118765,0.012623385331605981
2010542,1789025761429000000,143,HEAD_POSE_ESTIMATE,estimated,-2.0620018370987876,5.766302508310137,7.578131520680655,-0.025974637261699966,0.02002000120550591,0.0047550408830302785
2024542,1789025761443000000,144,HEAD_POSE_ESTIMATE,estimated,-2.067296479457708,5.760440415873807,7.601025236953791,-0.025488380878225463,0.011199387455013548,-0.011430897777238767
2038542,1789025761457000000,145,HEAD_POSE_ESTIMATE,estimated,-2.080288683405682,5.776155142569222,7.615222062998957,-0.027907172527438677,-0.0013977502073885403,-0.03020384198056176
2052542,1789025761471000000,146,HEAD_POSE_ESTIMATE,estimated,-2.1027861468833122,5.771025724517562,7.616566727633015,-0.020836326141299256,-0.018018903691148603,-0.05083157699335793
2066542,1789025761485000000,147,HEAD_POSE_ESTIMATE,estimated,-2.1301053367258485,5.7634599517678335,7.610685578402181,-0.008573785137593931,-0.03164386923244795,-0.06550964034923731
2080542,1789025761499000000,148,HEAD_POSE_ESTIMATE,estimated,-2.154401587861706,5.756080667780464,7.595318733130927,0.0071820179367451005,-0.04071782212426501,-0.07438140075362676
2094542,1789025761513000000,149,HEAD_POSE_ESTIMATE,estimated,-2.178782451925029,5.749513432261137,7.594666275817171,0.022014180778945906,-0.04943657556741813,-0.08179623483112544
2107542,1789025761526000000,150,HEAD_POSE_ESTIMATE,estimated,-2.1859062828776397,5.730389596657544,7.599604619639081,0.02861258972976984,-0.051862744431663166,-0.08252562001906331
2121542,1789025761540000000,151,HEAD_POSE_ESTIMATE,estimated,-2.18648498755006,5.718796376922903,7.584009620219302,0.0324011151077161,-0.04989235406239802,-0.07731194660415179
2135542,1789025761554000000,152,HEAD_POSE_ESTIMATE,estimated,-2.207305320424361,5.738671057450763,7.58992221595948,0.020044044565499186,-0.030344873917823784,-0.039131555892594205
2149542,1789025761568000000,153,HEAD_POSE_ESTIMATE,estimated,-2.198306552147564,5.739923114396154,7.573853598780185,0.010001425485110429,-0.01407060482332827,-0.010298521330275949
2165542,1789025761584000000,154,HEAD_POSE_ESTIMATE,estimated,-2.1904509623142383,5.753496497471411,7.554467867623161,-0.00313445958648297,0.004549877229229883,0.01105591261964336
2177542,1789025761596000000,155,HEAD_POSE_ESTIMATE,estimated,-2.1888828176149144,5.7729581535452645,7.544726807542987,-0.01364813332856396,0.016650667418102467,0.011034425189203336
2190542,1789025761609000000,156,HEAD_POSE_ESTIMATE,estimated,-2.18769104402156,5.786654543019483,7.537699305130073,-0.02183501680406296,0.02827520910617187,0.0041966841513508355
2209542,1789025761628000000,157,HEAD_POSE_ESTIMATE,estimated,-2.186977648143407,5.7887818408917955,7.551990488230033,-0.035230138499839726,0.040682988601552506,-0.010406213811138394
2219542,1789025761638000000,158,HEAD_POSE_ESTIMATE,estimated,-2.193482189613428,5.793726144379933,7.564594176580173,-0.04191321586265581,0.04490224131423928,-0.017082027007801114
2245542,1789025761664000000,159,HEAD_POSE_ESTIMATE,estimated,-2.212469260678534,5.807842404964072,7.587319379252846,-0.04445571409993278,0.05425285308299665,-0.035794688850003004
2259542,1789025761678000000,160,HEAD_POSE_ESTIMATE,estimated,-2.227603587943595,5.796887385032851,7.595526104600756,-0.03730780398526888,0.057196780427360004,-0.043153929570828885
2270542,1789025761689000000,161,HEAD_POSE_ESTIMATE,estimated,-2.2418873596974818,5.780387473660459,7.609178677352461,-0.02583556108957811,0.06254364509883885,-0.040130294055437825
